epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,633.407,0.78908,0.5007,0.82224,0.89072,0.81134,0.87022,0.60358,0.76731,0.57839,0.70874,5.548e-05,5.548e-05,5.548e-05
89,640.591,0.771,0.50118,0.82313,0.91366,0.81058,0.87576,0.61129,0.74671,0.57708,0.70602,5.152e-05,5.152e-05,5.152e-05
90,647.8,0.79032,0.50045,0.82313,0.88621,0.77672,0.86238,0.6106,0.76935,0.59208,0.70974,4.756e-05,4.756e-05,4.756e-05
91,655.499,0.80706,0.50772,0.82624,0.88665,0.80241,0.85571,0.58941,0.76262,0.58754,0.70692,4.36e-05,4.36e-05,4.36e-05
92,662.667,0.76765,0.4802,0.8235,0.90171,0.82108,0.8684,0.6053,0.75218,0.56701,0.7082,3.964e-05,3.964e-05,3.964e-05
93,669.815,0.76329,0.47298,0.81546,0.89982,0.81243,0.86796,0.59006,0.75455,0.58382,0.7058,3.568e-05,3.568e-05,3.568e-05
94,676.976,0.74998,0.46593,0.82643,0.90005,0.80898,0.86952,0.59598,0.74687,0.57981,0.70676,3.172e-05,3.172e-05,3.172e-05
95,684.103,0.76331,0.47498,0.81742,0.89365,0.82142,0.87074,0.61034,0.74534,0.58178,0.70627,2.776e-05,2.776e-05,2.776e-05
96,691.259,0.74792,0.47076,0.81846,0.90112,0.79891,0.86252,0.60117,0.75061,0.56015,0.70668,2.38e-05,2.38e-05,2.38e-05
97,698.393,0.76139,0.47214,0.81956,0.90138,0.79814,0.86327,0.60266,0.75588,0.57409,0.70682,1.984e-05,1.984e-05,1.984e-05
98,705.527,0.73789,0.46433,0.81155,0.90695,0.79711,0.86781,0.61009,0.73958,0.55953,0.70608,1.588e-05,1.588e-05,1.588e-05
99,712.742,0.73686,0.4676,0.81057,0.90926,0.79038,0.86803,0.60154,0.75401,0.56788,0.70673,1.192e-05,1.192e-05,1.192e-05
100,719.868,0.73507,0.44988,0.81297,0.90798,0.79621,0.86694,0.60725,0.74623,0.54998,0.70709,7.96e-06,7.96e-06,7.96e-06
