epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2145.42,1.04388,0.51739,0.89013,0.90146,0.83057,0.91356,0.53993,1.31695,0.62289,0.98914,0.0004358,0.0004358,0.0004358
81,2172.28,1.05341,0.51738,0.89091,0.89361,0.85227,0.91858,0.54523,1.29623,0.61866,0.96579,0.000416,0.000416,0.000416
82,2199.06,1.04493,0.51582,0.88467,0.89427,0.85447,0.91453,0.54063,1.30727,0.62308,0.96967,0.0003962,0.0003962,0.0003962
83,2225.81,1.03713,0.51449,0.88694,0.90437,0.83328,0.91894,0.5382,1.30217,0.62223,0.96703,0.0003764,0.0003764,0.0003764
84,2252.67,1.02796,0.507,0.88391,0.89837,0.83445,0.91353,0.54165,1.29996,0.61931,0.96634,0.0003566,0.0003566,0.0003566
85,2279.42,1.03551,0.50679,0.88435,0.91225,0.83281,0.9166,0.54277,1.29396,0.61692,0.96502,0.0003368,0.0003368,0.0003368
86,2306.13,1.02844,0.50745,0.88512,0.91188,0.83979,0.91767,0.54272,1.30009,0.61694,0.98303,0.000317,0.000317,0.000317
87,2332.91,1.03186,0.50238,0.88538,0.90912,0.84144,0.91794,0.54175,1.29466,0.61195,0.97563,0.0002972,0.0002972,0.0002972
88,2359.68,1.02973,0.50853,0.88236,0.90827,0.83712,0.91772,0.54253,1.30432,0.62405,0.98577,0.0002774,0.0002774,0.0002774
89,2386.46,1.02669,0.50541,0.88499,0.90993,0.83712,0.91153,0.54254,1.29939,0.62621,0.97134,0.0002576,0.0002576,0.0002576
90,2413.24,1.02111,0.50037,0.88537,0.9134,0.83578,0.91095,0.54163,1.29915,0.60219,0.98309,0.0002378,0.0002378,0.0002378
91,2440.03,1.01619,0.48175,0.89104,0.90897,0.83979,0.908,0.5402,1.29404,0.61055,0.96919,0.000218,0.000218,0.000218
92,2466.34,1.00599,0.47643,0.88466,0.90873,0.83044,0.90625,0.54127,1.29285,0.60895,0.96499,0.0001982,0.0001982,0.0001982
93,2492.81,1.00089,0.47363,0.88673,0.9052,0.83578,0.90895,0.54241,1.28995,0.60763,0.96418,0.0001784,0.0001784,0.0001784
94,2519.16,0.99764,0.47114,0.88622,0.91067,0.82911,0.91077,0.54303,1.28584,0.61395,0.96601,0.0001586,0.0001586,0.0001586
95,2545.5,0.98642,0.4657,0.88227,0.91432,0.83044,0.91343,0.54461,1.2869,0.60946,0.96514,0.0001388,0.0001388,0.0001388
96,2571.95,0.9864,0.46799,0.88239,0.9178,0.83478,0.91704,0.54577,1.29023,0.61602,0.96766,0.000119,0.000119,0.000119
97,2598.35,0.98397,0.46521,0.88035,0.90428,0.84913,0.91899,0.54899,1.29174,0.61993,0.969,9.92e-05,9.92e-05,9.92e-05
98,2624.76,0.98165,0.46214,0.88164,0.92255,0.82699,0.91575,0.54605,1.29147,0.61672,0.96937,7.94e-05,7.94e-05,7.94e-05
99,2651.09,0.97861,0.46205,0.87994,0.91553,0.8251,0.91158,0.54649,1.29248,0.61378,0.96898,5.96e-05,5.96e-05,5.96e-05
100,2677.42,0.97428,0.45929,0.881,0.92117,0.82687,0.91398,0.54363,1.29437,0.6188,0.96984,3.98e-05,3.98e-05,3.98e-05
